,token,token_id,anchor_type,event_anno
365,meester,12-317,"('0', '0', '0', '0')","('0', '0', '0', '0')"
366,maeckt,12-318,"('0', '0', '0', '0')","('0', '0', '0', '0')"
367,",",12-319,"('0', '0', '0', '0')","('0', '0', '0', '0')"
368,ende,12-320,"('0', '0', '0', '0')","('0', '0', '0', '0')"
369,d'Ouericheijt,12-321,"('0', '0', '0', '0')","('0', '0', '0', '0')"
370,Hetten,12-322,"('0', '0', '0', '0')","('0', '0', '0', '0')"
371,voorschrijft,12-323,"('0', '0', '0', '0')","('0', '0', '0', '0')"
372,niet,12-324,"('0', '0', '0', '0')","('0', '0', '0', '0')"
373,behoorlijck,12-325,"('0', '0', '0', '0')","('0', '0', '0', '0')"
374,achtervolcht,12-326,"('0', '0', '0', '0')","('0', '0', '0', '0')"
375,",",12-327,"('0', '0', '0', '0')","('0', '0', '0', '0')"
376,maer,12-328,"('0', '0', '0', '0')","('0', '0', '0', '0')"
377,de,12-329,"('0', '0', '0', '0')","('0', '0', '0', '0')"
378,cours,12-330,"('0', 'evokes', 'evokes', '0')","('0', 'Voyage', 'Voyage', '0')"
379,recht,12-331,"('0', '0', '0', '0')","('0', '0', '0', '0')"
380,door,12-332,"('0', '0', '0', '0')","('0', '0', '0', '0')"
381,t'Canael,12-333,"('0', '0', '0', '0')","('0', '0', '0', '0')"
382,nae,12-334,"('0', '0', '0', '0')","('0', '0', '0', '0')"
383,Nederlandt,12-335,"('0', '0', '0', '0')","('0', '0', '0', '0')"
384,gestelt,12-336,"('0', '0', '0', '0')","('0', '0', '0', '0')"
385,mocht,12-337,"('0', '0', '0', '0')","('0', '0', '0', '0')"
386,werden,12-338,"('0', '0', '0', '0')","('0', '0', '0', '0')"
387,",",12-339,"('0', '0', '0', '0')","('0', '0', '0', '0')"
388,al,12-340,"('0', '0', '0', '0')","('0', '0', '0', '0')"
389,schoon,12-341,"('0', '0', '0', '0')","('0', '0', '0', '0')"
390,het,12-342,"('0', '0', '0', '0')","('0', '0', '0', '0')"
391,tijts,12-343,"('0', '0', '0', '0')","('0', '0', '0', '0')"
392,genouch,12-344,"('0', '0', '0', '0')","('0', '0', '0', '0')"
393,eynam,12-345,"('0', '0', '0', '0')","('0', '0', '0', '0')"
394,om,12-346,"('0', '0', '0', '0')","('0', '0', '0', '0')"
395,achter,12-347,"('isOfType', '0', '0', '0')","('Voyage', '0', '0', '0')"
396,om,12-348,"('isOfType', '0', '0', '0')","('Voyage', '0', '0', '0')"
397,te,12-349,"('isOfType', '0', '0', '0')","('Voyage', '0', '0', '0')"
398,loopen,12-350,"('isOfType', '0', '0', '0')","('Voyage', '0', '0', '0')"
399,.,12-351,"('0', '0', '0', '0')","('0', '0', '0', '0')"
400,In,12-352,"('0', '0', '0', '0')","('0', '0', '0', '0')"
401,voegen,12-353,"('0', '0', '0', '0')","('0', '0', '0', '0')"
402,",",12-354,"('0', '0', '0', '0')","('0', '0', '0', '0')"
403,dat,12-355,"('0', '0', '0', '0')","('0', '0', '0', '0')"
404,ons,12-356,"('0', '0', '0', '0')","('0', '0', '0', '0')"
405,om,12-357,"('0', '0', '0', '0')","('0', '0', '0', '0')"
406,voorverhaelde,12-358,"('0', '0', '0', '0')","('0', '0', '0', '0')"
407,consideratien,12-359,"('0', '0', '0', '0')","('0', '0', '0', '0')"
408,eenichsints,12-360,"('0', '0', '0', '0')","('0', '0', '0', '0')"
409,beswaert,12-361,"('0', '0', '0', '0')","('0', '0', '0', '0')"
410,woirden,12-362,"('0', '0', '0', '0')","('0', '0', '0', '0')"
411,de,12-363,"('0', '0', '0', '0')","('0', '0', '0', '0')"
412,syde,12-364,"('0', '0', '0', '0')","('0', '0', '0', '0')"
413,dus,12-365,"('0', '0', '0', '0')","('0', '0', '0', '0')"
414,laet,12-366,"('0', '0', '0', '0')","('0', '0', '0', '0')"
415,met,12-367,"('0', '0', '0', '0')","('0', '0', '0', '0')"
416,een,12-368,"('0', '0', '0', '0')","('0', '0', '0', '0')"
417,Schip,12-369,"('0', '0', '0', '0')","('0', '0', '0', '0')"
418,ouer,12-370,"(0, 'isOfType', '0', '0')","('Transportation', 'Transportation', '0', '0')"
419,teseijnden,12-371,"(0, 'isOfType', 'isOfType', '0')","('Transportation', 'Transportation', 'Transportation', '0')"
420,.,12-372,"('0', '0', '0', '0')","('0', '0', '0', '0')"
421,Doch,12-373,"('0', '0', '0', '0')","('0', '0', '0', '0')"
422,aen,12-374,"('0', '0', '0', '0')","('0', '0', '0', '0')"
423,d'ander,12-375,"('0', '0', '0', '0')","('0', '0', '0', '0')"
424,sijde,12-376,"('0', '0', '0', '0')","('0', '0', '0', '0')"
425,ouerwogen,12-377,"('0', '0', '0', '0')","('0', '0', '0', '0')"
426,",",12-378,"('0', '0', '0', '0')","('0', '0', '0', '0')"
427,soo,12-379,"('0', '0', '0', '0')","('0', '0', '0', '0')"
428,noodich,12-380,"('0', '0', '0', '0')","('0', '0', '0', '0')"
429,het,12-381,"('0', '0', '0', '0')","('0', '0', '0', '0')"
430,sij,12-382,"('0', '0', '0', '0')","('0', '0', '0', '0')"
431,V,12-383,"('0', '0', '0', '0')","('0', '0', '0', '0')"
432,Ed,12-384,"('0', '0', '0', '0')","('0', '0', '0', '0')"
433,:,12-385,"('0', '0', '0', '0')","('0', '0', '0', '0')"
434,tegen,12-386,"('0', '0', '0', '0')","('0', '0', '0', '0')"
435,haere,12-387,"('0', '0', '0', '0')","('0', '0', '0', '0')"
436,Excessiue,12-388,"('0', '0', '0', '0')","('0', '0', '0', '0')"
437,lasten,12-389,"('0', '0', '0', '0')","('0', '0', '0', '0')"
438,",",12-390,"('0', '0', '0', '0')","('0', '0', '0', '0')"
439,met,12-391,"('0', '0', '0', '0')","('0', '0', '0', '0')"
440,soulagenbele,12-392,"('0', '0', '0', '0')","('0', '0', '0', '0')"
441,—,12-393,"('0', '0', '0', '0')","('0', '0', '0', '0')"
442,Recouren,12-394,"('0', '0', '0', '0')","('0', '0', '0', '0')"
443,",",12-395,"('0', '0', '0', '0')","('0', '0', '0', '0')"
444,soo,12-396,"('0', '0', '0', '0')","('0', '0', '0', '0')"
445,veel,12-397,"('0', '0', '0', '0')","('0', '0', '0', '0')"
446,mogelijck,12-398,"('0', '0', '0', '0')","('0', '0', '0', '0')"
447,verlicht,12-399,"('0', '0', '0', '0')","('0', '0', '0', '0')"
448,werden,12-400,"('0', '0', '0', '0')","('0', '0', '0', '0')"
449,",",12-401,"('0', '0', '0', '0')","('0', '0', '0', '0')"
450,gelijck,12-402,"('0', '0', '0', '0')","('0', '0', '0', '0')"
451,mede,12-403,"('0', '0', '0', '0')","('0', '0', '0', '0')"
452,dat,12-404,"('0', '0', '0', '0')","('0', '0', '0', '0')"
453,het,12-405,"('0', '0', '0', '0')","('0', '0', '0', '0')"
454,U,12-406,"('0', '0', '0', '0')","('0', '0', '0', '0')"
455,Ed,12-407,"('0', '0', '0', '0')","('0', '0', '0', '0')"
456,:,12-408,"('0', '0', '0', '0')","('0', '0', '0', '0')"
457,animeren,12-409,"('0', '0', '0', '0')","('0', '0', '0', '0')"
458,sal,12-410,"('0', '0', '0', '0')","('0', '0', '0', '0')"
459,omme,12-411,"('0', '0', '0', '0')","('0', '0', '0', '0')"
460,de,12-412,"('0', '0', '0', '0')","('0', '0', '0', '0')"
461,requisite,12-413,"('0', '0', '0', '0')","('0', '0', '0', '0')"
462,capitalen,12-414,"('0', '0', '0', '0')","('0', '0', '0', '0')"
463,",",12-415,"('0', '0', '0', '0')","('0', '0', '0', '0')"
464,tot,12-416,"('0', '0', '0', '0')","('0', '0', '0', '0')"
465,Vigorenter,12-417,"('0', '0', '0', '0')","('0', '0', '0', '0')"
466,vervolch,12-418,"('0', '0', '0', '0')","('0', '0', '0', '0')"
467,vandien,12-419,"('0', '0', '0', '0')","('0', '0', '0', '0')"
468,aduantagieusen,12-420,"('0', '0', '0', '0')","('0', '0', '0', '0')"
469,handel,12-421,"('0', '0', '0', '0')","('0', '0', '0', '0')"
470,int,12-422,"('0', '0', '0', '0')","('0', '0', '0', '0')"
471,',12-423,"('0', '0', '0', '0')","('0', '0', '0', '0')"
472,aenstaende,12-424,"('0', '0', '0', '0')","('0', '0', '0', '0')"
473,des,12-425,"('0', '0', '0', '0')","('0', '0', '0', '0')"
474,t'onbecrompener,12-426,"('0', '0', '0', '0')","('0', '0', '0', '0')"
475,te,12-427,"('0', '0', '0', '0')","('0', '0', '0', '0')"
476,fourneren,12-428,"('0', '0', 'isOfType', '0')","('0', '0', 'Giving', '0')"
477,",",12-429,"('0', '0', '0', '0')","('0', '0', '0', '0')"
478,hebben,12-430,"('0', '0', '0', '0')","('0', '0', '0', '0')"
479,euenwel,12-431,"('0', '0', '0', '0')","('0', '0', '0', '0')"
480,goedt,12-432,"('0', '0', '0', '0')","('0', '0', '0', '0')"
481,gevonden,12-433,"('0', '0', '0', '0')","('0', '0', '0', '0')"
482,",",12-434,"('0', '0', '0', '0')","('0', '0', '0', '0')"
483,t'Schip,12-435,"('0', '0', '0', '0')","('0', '0', '0', '0')"
484,Vranen,12-436,"('0', '0', '0', '0')","('0', '0', '0', '0')"
485,opt,12-437,"('0', '0', '0', '0')","('0', '0', '0', '0')"
486,',12-438,"('0', '0', '0', '0')","('0', '0', '0', '0')"
487,spoedichste,12-439,"('0', '0', '0', '0')","('0', '0', '0', '0')"
488,met,12-440,"('0', '0', '0', '0')","('0', '0', '0', '0')"
489,384½.,12-441,"('0', '0', '0', '0')","('0', '0', '0', '0')"
491,Nicol,12-442,"('0', '0', '0', '0')","('0', '0', '0', '0')"
492,sijde,12-443,"('0', '0', '0', '0')","('0', '0', '0', '0')"
493,1,12-444,"('0', '0', '0', '0')","('0', '0', '0', '0')"
494,331,12-445,"('0', '0', '0', '0')","('0', '0', '0', '0')"
495,...,12-446,"('0', '0', '0', '0')","('0', '0', '0', '0')"
497,r.,12-447,"('0', '0', '0', '0')","('0', '0', '0', '0')"
498,d,12-448,"('0', '0', '0', '0')","('0', '0', '0', '0')"
499,=,12-449,"('0', '0', '0', '0')","('0', '0', '0', '0')"
500,o.,12-450,"('0', '0', '0', '0')","('0', '0', '0', '0')"
501,cooper,12-451,"('0', '0', '0', '0')","('0', '0', '0', '0')"
502,7972,12-452,"('0', '0', '0', '0')","('0', '0', '0', '0')"
503,...,12-453,"('0', '0', '0', '0')","('0', '0', '0', '0')"
504,Sacken,12-454,"('0', '0', '0', '0')","('0', '0', '0', '0')"
505,",",12-455,"('0', '0', '0', '0')","('0', '0', '0', '0')"
506,perper,12-456,"('0', '0', '0', '0')","('0', '0', '0', '0')"
507,20,12-457,"('0', '0', '0', '0')","('0', '0', '0', '0')"
508,6,12-458,"('0', '0', '0', '0')","('0', '0', '0', '0')"
509,1,12-459,"('0', '0', '0', '0')","('0', '0', '0', '0')"
510,8,12-460,"('0', '0', '0', '0')","('0', '0', '0', '0')"
511,..,12-461,"('0', '0', '0', '0')","('0', '0', '0', '0')"
513,lb,12-462,"('0', '0', '0', '0')","('0', '0', '0', '0')"
514,.,12-463,"('0', '0', '0', '0')","('0', '0', '0', '0')"
515,Salpeter,12-464,"('0', '0', '0', '0')","('0', '0', '0', '0')"
516,:,12-465,"('0', '0', '0', '0')","('0', '0', '0', '0')"
517,beneffens,12-466,"('0', '0', '0', '0')","('0', '0', '0', '0')"
518,de,12-467,"('0', '0', '0', '0')","('0', '0', '0', '0')"
519,noodige,12-468,"('0', '0', '0', '0')","('0', '0', '0', '0')"
520,aduisen,12-469,"('0', '0', '0', '0')","('0', '0', '0', '0')"
521,",",12-470,"('0', '0', '0', '0')","('0', '0', '0', '0')"
522,ende,12-471,"('0', '0', '0', '0')","('0', '0', '0', '0')"
523,bescheijden,12-472,"('0', '0', '0', '0')","('0', '0', '0', '0')"
524,aff,12-473,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('Transportation', 'Leaving', 'Transportation', 'Transportation')"
525,te,12-474,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('Transportation', 'Leaving', 'Transportation', 'Transportation')"
526,vaerdigen,12-475,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('Transportation', 'Leaving', 'Transportation', 'Transportation')"
527,.,12-476,"('0', '0', '0', '0')","('0', '0', '0', '0')"
528,Almogende,12-477,"('0', '0', '0', '0')","('0', '0', '0', '0')"
529,gelieue,12-478,"('0', '0', '0', '0')","('0', '0', '0', '0')"
530,UEd,12-479,"('0', '0', '0', '0')","('0', '0', '0', '0')"
531,:,12-480,"('0', '0', '0', '0')","('0', '0', '0', '0')"
532,e,12-481,"('0', '0', '0', '0')","('0', '0', '0', '0')"
533,dit,12-482,"('0', '0', '0', '0')","('0', '0', '0', '0')"
534,ende,12-483,"('0', '0', '0', '0')","('0', '0', '0', '0')"
535,de,12-484,"('0', '0', '0', '0')","('0', '0', '0', '0')"
536,vooraffgebondene,12-485,"('0', '0', '0', '0')","('0', '0', '0', '0')"
537,Schepen,12-486,"('0', '0', '0', '0')","('0', '0', '0', '0')"
538,in,12-487,"('0', '0', '0', '0')","('0', '0', '0', '0')"
539,salko,12-488,"('0', '0', '0', '0')","('0', '0', '0', '0')"
540,te,12-489,"('0', '0', '0', '0')","('0', '0', '0', '0')"
541,laten,12-490,"('0', '0', '0', '0')","('0', '0', '0', '0')"
542,toecomen,12-491,"('isOfType', 'isOfType', '0', '0')","('Arriving', 'Arriving', '0', '0')"
543,.,12-492,"('0', '0', '0', '0')","('0', '0', '0', '0')"
544,22,12-493,"('0', '0', '0', '0')","('0', '0', '0', '0')"
545,.,12-494,"('0', '0', '0', '0')","('0', '0', '0', '0')"
546,Otp,13-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
547,20en,13-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
548,.,13-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
549,Nouembr,13-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
550,.,13-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
551,is,13-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
552,hier,13-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
553,van,13-8,"('0', '0', '0', '0')","('0', '0', '0', '0')"
554,Patane,13-9,"('0', '0', '0', '0')","('0', '0', '0', '0')"
555,wel,13-10,"('0', '0', '0', '0')","('0', '0', '0', '0')"
556,aengecomen,13-11,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('Arriving', 'Arriving', 'Arriving', 'Arriving')"
557,t,13-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
558,',13-13,"('0', '0', '0', '0')","('0', '0', '0', '0')"
559,Jacht,13-14,"('0', '0', '0', '0')","('0', '0', '0', '0')"
560,de,13-15,"('0', '0', '0', '0')","('0', '0', '0', '0')"
561,Griffoen,13-16,"('0', '0', '0', '0')","('0', '0', '0', '0')"
562,(:,13-17,"('0', '0', '0', '0')","('0', '0', '0', '0')"
563,geladen,13-18,"('0', '0', '0', '0')","('0', '0', '0', '0')"
564,met,13-19,"('0', '0', '0', '0')","('0', '0', '0', '0')"
565,670,13-20,"('0', '0', '0', '0')","('0', '0', '0', '0')"
566,.,13-21,"('0', '0', '0', '0')","('0', '0', '0', '0')"
567,Baren,13-22,"('0', '0', '0', '0')","('0', '0', '0', '0')"
568,Ppeper,13-23,"('0', '0', '0', '0')","('0', '0', '0', '0')"
569,",",13-24,"('0', '0', '0', '0')","('0', '0', '0', '0')"
570,welck,13-25,"('0', '0', '0', '0')","('0', '0', '0', '0')"
571,vrij,13-26,"('0', '0', '0', '0')","('0', '0', '0', '0')"
572,wat,13-27,"('0', '0', '0', '0')","('0', '0', '0', '0')"
573,dier,13-28,"('0', '0', '0', '0')","('0', '0', '0', '0')"
574,connot,13-29,"('0', '0', '0', '0')","('0', '0', '0', '0')"
575,denen,13-30,"('0', '0', '0', '0')","('0', '0', '0', '0')"
576,W,14-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
577,:,14-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
578,Curt,14-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
579,Sumatsa,14-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
580,.,14-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
581,o,15-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
582,1,15-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
583,e,15-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
584,de,15-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
585,CCormandel,16-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
587,:,16-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
588,te,17-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
589,staen,17-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
590,",",17-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
591,ten,17-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
592,aensien,17-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
593,de,17-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
594,cleeden,17-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
595,seer,17-8,"('0', '0', '0', '0')","('0', '0', '0', '0')"
596,goeden,17-9,"('0', '0', 'evokes', '0')","('0', '0', 'HavingInternalState', '0')"
597,coop,17-10,"('0', '0', 'evokes', '0')","('0', '0', 'HavingInternalState', '0')"
598,daer,17-11,"('0', '0', '0', '0')","('0', '0', '0', '0')"
599,tegen,17-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
600,verhandelt,17-13,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('FinancialTransaction', 'FinancialTransaction', 'FinancialTransaction', 'FinancialTransaction')"
601,sijn,17-14,"('0', '0', '0', '0')","('0', '0', '0', '0')"
602,soo,17-15,"('0', '0', '0', '0')","('0', '0', '0', '0')"
603,dat,17-16,"('0', '0', '0', '0')","('0', '0', '0', '0')"
604,voor,17-17,"('0', '0', '0', '0')","('0', '0', '0', '0')"
605,dees,17-18,"('0', '0', '0', '0')","('0', '0', '0', '0')"
606,tijt,17-19,"('0', '0', '0', '0')","('0', '0', '0', '0')"
607,in,17-20,"('0', '0', '0', '0')","('0', '0', '0', '0')"
608,dat,17-21,"('0', '0', '0', '0')","('0', '0', '0', '0')"
609,quartier,17-22,"('0', '0', '0', '0')","('0', '0', '0', '0')"
610,gants,17-23,"('0', '0', '0', '0')","('0', '0', '0', '0')"
611,weijnichte,17-24,"('0', '0', '0', '0')","('0', '0', '0', '0')"
612,doen,17-25,"('0', '0', '0', '0')","('0', '0', '0', '0')"
613,is,17-26,"('0', '0', '0', '0')","('0', '0', '0', '0')"
614,",",17-27,"('0', '0', '0', '0')","('0', '0', '0', '0')"
615,ende,17-28,"('0', '0', '0', '0')","('0', '0', '0', '0')"
616,niet,17-29,"('0', '0', '0', '0')","('0', '0', '0', '0')"
617,noodich,17-30,"('0', '0', '0', '0')","('0', '0', '0', '0')"
618,wesen,17-31,"('0', '0', '0', '0')","('0', '0', '0', '0')"
619,sal,17-32,"('0', '0', '0', '0')","('0', '0', '0', '0')"
620,",",17-33,"('0', '0', '0', '0')","('0', '0', '0', '0')"
621,t'naeste,17-34,"('0', '0', '0', '0')","('0', '0', '0', '0')"
622,Jaer,17-35,"('0', '0', '0', '0')","('0', '0', '0', '0')"
623,derrewaerts,17-36,"('0', '0', '0', '0')","('0', '0', '0', '0')"
624,weder,17-37,"('0', '0', '0', '0')","('0', '0', '0', '0')"
625,teseijnder,17-38,"('0', '0', 'isOfType', '0')","('0', '0', 'TransLocation', '0')"
627,De,17-39,"('0', '0', '0', '0')","('0', '0', '0', '0')"
628,Rijs,17-40,"('0', '0', '0', '0')","('0', '0', '0', '0')"
629,was,17-41,"('0', '0', '0', '0')","('0', '0', '0', '0')"
630,daer,17-42,"('0', '0', '0', '0')","('0', '0', '0', '0')"
631,uijt,17-43,"('0', '0', '0', '0')","('0', '0', '0', '0')"
632,der,17-44,"('0', '0', '0', '0')","('0', '0', '0', '0')"
633,maten,17-45,"('0', '0', '0', '0')","('0', '0', '0', '0')"
634,dier,17-46,"('0', '0', 'evokes', '0')","('0', '0', 'HavingInternalState+', '0')"
635,;,17-47,"('0', '0', '0', '0')","('0', '0', '0', '0')"
636,De,17-48,"('0', '0', '0', '0')","('0', '0', '0', '0')"
637,toataneten,17-49,"('0', '0', '0', '0')","('0', '0', '0', '0')"
638,vreesen,17-50,"('0', '0', '0', '0')","('0', '0', '0', '0')"
639,alsnoch,17-51,"('0', '0', '0', '0')","('0', '0', '0', '0')"
640,dat,17-52,"('0', '0', '0', '0')","('0', '0', '0', '0')"
641,den,17-53,"('0', '0', '0', '0')","('0', '0', '0', '0')"
642,Atchinder,17-54,"('0', '0', '0', '0')","('0', '0', '0', '0')"
643,van,17-55,"('0', '0', '0', '0')","('0', '0', '0', '0')"
644,Gueda,17-56,"('0', '0', '0', '0')","('0', '0', '0', '0')"
645,te,17-57,"('0', '0', '0', '0')","('0', '0', '0', '0')"
646,Lande,17-58,"('0', '0', '0', '0')","('0', '0', '0', '0')"
647,te,17-59,"('0', '0', '0', '0')","('0', '0', '0', '0')"
648,lande,17-60,"('0', '0', '0', '0')","('0', '0', '0', '0')"
649,decieitiersn,17-61,"('isOfType', '0', '0', '0')","('Attacking', '0', '0', '0')"
650,comen,17-62,"('isOfType', '0', 'isOfType', 'isOfType')","('Attacking', '0', 'Invasion', 'Arriving')"
651,sal,17-63,"('isOfType', '0', '0', '0')","('Attacking', '0', '0', '0')"
652,",",17-64,"('0', '0', '0', '0')","('0', '0', '0', '0')"
653,daer,17-65,"('0', '0', '0', '0')","('0', '0', '0', '0')"
654,ons,17-66,"('0', '0', '0', '0')","('0', '0', '0', '0')"
655,bedunckt,17-67,"('0', '0', '0', '0')","('0', '0', '0', '0')"
656,niet,17-68,"('0', '0', '0', '0')","('0', '0', '0', '0')"
657,veel,17-69,"('0', '0', '0', '0')","('0', '0', '0', '0')"
658,apparentie,17-70,"('0', '0', '0', '0')","('0', '0', '0', '0')"
659,toe,17-71,"('0', '0', '0', '0')","('0', '0', '0', '0')"
660,en,17-72,"('0', '0', '0', '0')","('0', '0', '0', '0')"
661,is,17-73,"('0', '0', '0', '0')","('0', '0', '0', '0')"
662,eeee,17-74,"('0', '0', '0', '0')","('0', '0', '0', '0')"
663,Vande,18-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
664,Westcust,18-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
665,van,18-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
666,Sumatra,18-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
667,is,18-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
668,hier,18-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
669,den,18-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
670,25.en,18-8,"('0', '0', '0', '0')","('0', '0', '0', '0')"
671,d.o,18-9,"('0', '0', '0', '0')","('0', '0', '0', '0')"
672,.,18-10,"('0', '0', '0', '0')","('0', '0', '0', '0')"
673,mede,18-11,"('0', '0', '0', '0')","('0', '0', '0', '0')"
675,abel,18-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
676,aengecomen,18-13,"(0, 'isOfType', 'isOfType', 'isOfType')","('Arriving', 'Arriving', 'Arriving', 'Arriving')"
677,de,18-14,"('0', '0', '0', '0')","('0', '0', '0', '0')"
678,fluijt,18-15,"('0', '0', '0', '0')","('0', '0', '0', '0')"
679,Amstervoen,18-16,"('0', '0', '0', '0')","('0', '0', '0', '0')"
680,",",18-17,"('0', '0', '0', '0')","('0', '0', '0', '0')"
681,met,18-18,"('0', '0', '0', '0')","('0', '0', '0', '0')"
682,900,18-19,"('0', '0', '0', '0')","('0', '0', '0', '0')"
683,.,18-20,"('0', '0', '0', '0')","('0', '0', '0', '0')"
684,bharen,18-21,"('0', '0', '0', '0')","('0', '0', '0', '0')"
685,ppever,18-22,"('0', '0', '0', '0')","('0', '0', '0', '0')"
686,aldaer,18-23,"('0', '0', '0', '0')","('0', '0', '0', '0')"
687,",",18-24,"('0', '0', '0', '0')","('0', '0', '0', '0')"
688,tegen,18-25,"('0', '0', '0', '0')","('0', '0', '0', '0')"
689,cleeden,18-26,"('0', '0', '0', '0')","('0', '0', '0', '0')"
690,verhandelt,18-27,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('FinancialTransaction', 'Selling', 'Buying', 'FinancialTransaction')"
691,",",18-28,"('0', '0', '0', '0')","('0', '0', '0', '0')"
692,vrij,18-29,"('0', '0', '0', '0')","('0', '0', '0', '0')"
693,wat,18-30,"('0', '0', '0', '0')","('0', '0', '0', '0')"
694,proffitabelder,18-31,"('0', '0', '0', '0')","('0', '0', '0', '0')"
695,dan,18-32,"('0', '0', '0', '0')","('0', '0', '0', '0')"
696,opde,18-33,"('0', '0', '0', '0')","('0', '0', '0', '0')"
697,custe,18-34,"('0', '0', '0', '0')","('0', '0', '0', '0')"
698,van,18-35,"('0', '0', '0', '0')","('0', '0', '0', '0')"
699,Patans,18-36,"('0', '0', '0', '0')","('0', '0', '0', '0')"
700,",",18-37,"('0', '0', '0', '0')","('0', '0', '0', '0')"
701,alsoo,18-38,"('0', '0', '0', '0')","('0', '0', '0', '0')"
702,daer,18-39,"('0', '0', '0', '0')","('0', '0', '0', '0')"
703,8o,18-40,"('0', '0', '0', '0')","('0', '0', '0', '0')"
704,O,18-41,"('0', '0', '0', '0')","('0', '0', '0', '0')"
705,cento,18-42,"('0', '0', '0', '0')","('0', '0', '0', '0')"
706,aduance,18-43,"('0', '0', '0', '0')","('0', '0', '0', '0')"
707,geuen,18-44,"('0', '0', '0', '0')","('0', '0', '0', '0')"
708,",",18-45,"('0', '0', '0', '0')","('0', '0', '0', '0')"
709,ende,18-46,"('0', '0', '0', '0')","('0', '0', '0', '0')"
710,in,18-47,"('0', '0', '0', '0')","('0', '0', '0', '0')"
711,Tatane,18-48,"('0', '0', '0', '0')","('0', '0', '0', '0')"
712,niet,18-49,"('0', '0', '0', '0')","('0', '0', '0', '0')"
713,meer,18-50,"('0', '0', '0', '0')","('0', '0', '0', '0')"
714,als,18-51,"('0', '0', '0', '0')","('0', '0', '0', '0')"
715,30,18-52,"('0', '0', '0', '0')","('0', '0', '0', '0')"
716,.,18-53,"('0', '0', '0', '0')","('0', '0', '0', '0')"
717,Ot,18-54,"('0', '0', '0', '0')","('0', '0', '0', '0')"
718,FL,18-55,"('0', '0', '0', '0')","('0', '0', '0', '0')"
719,W.,18-56,"('0', '0', '0', '0')","('0', '0', '0', '0')"
720,Cust,18-57,"('0', '0', '0', '0')","('0', '0', '0', '0')"
721,was,18-58,"('0', '0', '0', '0')","('0', '0', '0', '0')"
722,opt,18-59,"('0', '0', '0', '0')","('0', '0', '0', '0')"
723,vtreck,18-60,"('isOfType', '0', 'isOfType', 'isOfType')","('Leaving', '0', 'Leaving', 'Leaving')"
724,van,18-61,"('0', '0', '0', '0')","('0', '0', '0', '0')"
725,gemelte,18-62,"('0', '0', '0', '0')","('0', '0', '0', '0')"
726,Jacht,18-63,"('0', '0', '0', '0')","('0', '0', '0', '0')"
727,van,18-64,"('0', '0', '0', '0')","('0', '0', '0', '0')"
728,daer,18-65,"('0', '0', '0', '0')","('0', '0', '0', '0')"
729,",",18-66,"('0', '0', '0', '0')","('0', '0', '0', '0')"
730,noch,18-67,"('0', '0', '0', '0')","('0', '0', '0', '0')"
731,goede,18-68,"('0', '0', '0', '0')","('0', '0', '0', '0')"
732,partije,18-69,"('0', '0', '0', '0')","('0', '0', '0', '0')"
