,Unnamed: 0,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
74,74,brengen,evokes,7-187,3613-3620,Voyage[167],"['7-180', '7-173']",,,,,,,,['7-182'],,,brengen,['7-187'],", Wanneer hen ten eersten een loots zal worden toegezonden , om hen in de baai Van Nilewelle te [ brengen ] , alwaar een schip Voor de Zuide Winden Veilig leggen kan , en de eerste Verandering van Wind en Stroon",Voyage,7-187
75,75,leggen,evokes,7-197,3667-3673,BeingAtAPlace,['7-190'],,['7-189'],,,,,,,,,leggen,['7-197'],", om hen in de baai Van Nilewelle te brengen , alwaar een schip Voor de Zuide Winden Veilig [ leggen ] kan , en de eerste Verandering van Wind en Stroon Kan Waarneemen om na Gale te Zeilen . Bij onzen",BeingAtAPlace,7-197
76,76,Zeilen,isOfType,7-214,3752-3758,Voyage,['7-190'],,,,,,,,['7-212'],,,Zeilen,['7-214'],"Winden Veilig leggen kan , en de eerste Verandering van Wind en Stroon Kan Waarneemen om na Gale te [ Zeilen ] . Bij onzen eerbiedigen van den 12:e februari hebben wij de eer gehad Uwe Hoog Edelheeden te bedeelen , de",Voyage,7-214
77,77,Wapenen,evokes,7-246,3937-3944,ViolentContest,['7-245'],['7-245'],,,['7-245'],,,,,,,Wapenen,['7-246'],"gehad Uwe Hoog Edelheeden te bedeelen , de verslagenheid van het Randiasche Hof over den voorspoed van de Engelsche [ Wapenen ] , en dat het zelve ons kennis had gegeeven van een gezantschap van den Engelschen , 't Welk zoude moeten",ViolentContest,7-246
78,78,gezantschap,evokes,7-258,3995-4006,Visit,['7-237'],['7-260'],,,,,,,,,,gezantschap,['7-258'],"Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons kennis had gegeeven van een [ gezantschap ] van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren maar de aankomst van een",Visit,7-258
79,79,Verstooren,evokes,7-273,4081-4091,RelationshipChange,"['7-270', '7-237']","['7-270', '7-237']",,,"['7-270', '7-237']",,,,,,,Verstooren,['7-273'],"had gegeeven van een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te [ Verstooren ] maar de aankomst van een aanzienelijke Fransche Vloot schijnt 't Hof Van zijne ontsteltenis weder hersteld te hebben , Want",RelationshipChange,7-273
80,80,aankomst,isOfType,7-276,4100-4108,Arriving,,['7-279'],,,,,,,,,,aankomst,['7-276'],"een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren maar de [ aankomst ] van een aanzienelijke Fransche Vloot schijnt 't Hof Van zijne ontsteltenis weder hersteld te hebben , Want straks na der",Arriving,7-276
81,81,ontvangst,evokes,7-297,4229-4238,Getting,['7-300'],,,,,,,,,,,ontvangst,['7-297'],"een aanzienelijke Fransche Vloot schijnt 't Hof Van zijne ontsteltenis weder hersteld te hebben , Want straks na der [ ontvangst ] van deeze gewigtige tijding gaf het zelve ons kennisdat zij der Engelschen gezant na dat hij twintig dagen Was opgehouden",Getting,7-297
82,82,opgehouden,evokes,7-317,4350-4360,BeingAtAPlace,['7-308'],,,,,,,,,,,opgehouden,['7-317'],"van deeze gewigtige tijding gaf het zelve ons kennisdat zij der Engelschen gezant na dat hij twintig dagen Was [ opgehouden ] , nu hadden Verwittigd dat hij moeste Vertrekken , maar dat hij geantwoord had , dat , Wijl hij door",BeingAtAPlace,7-317
83,83,moeste,isOfType,8-6,4391-4397,ForceToAct,['8-5'],['7-307'],,,,,,,,,,moeste,['8-6'],"ons kennisdat zij der Engelschen gezant na dat hij twintig dagen Was opgehouden , nu hadden Verwittigd dat hij [ moeste ] Vertrekken , maar dat hij geantwoord had , dat , Wijl hij door den heer Gouverneur Van Madras en den",ForceToAct,8-6
84,84,Vertrekken,isOfType,8-7,4398-4408,Leaving,,['7-308'],,,,,,,,,,Vertrekken,['8-7'],"kennisdat zij der Engelschen gezant na dat hij twintig dagen Was opgehouden , nu hadden Verwittigd dat hij moeste [ Vertrekken ] , maar dat hij geantwoord had , dat , Wijl hij door den heer Gouverneur Van Madras en den Nabab",Leaving,8-7
85,85,gezonden,evokes,8-28,4502-4510,Visit,,['8-18'],,,,,,,,,,gezonden,['8-28'],"maar dat hij geantwoord had , dat , Wijl hij door den heer Gouverneur Van Madras en den Nabab [ gezonden ] Was , hij niet konde vertrekken zonder aan 't Hof te komen , al zoude hij ook gedood Worden en",Visit,8-28
86,86,vertrekken,isOfType,8-34,4531-4541,Leaving,,['8-31'],,,,,,,,,,vertrekken,['8-34'],"dat , Wijl hij door den heer Gouverneur Van Madras en den Nabab gezonden Was , hij niet konde [ vertrekken ] zonder aan 't Hof te komen , al zoude hij ook gedood Worden en dat wijl 't Verblijf van zulke",Leaving,8-34
87,87,komen,isOfType,8-40,4563-4568,Arriving,,['8-31'],,,,,,,['8-37'],,,komen,['8-40'],"heer Gouverneur Van Madras en den Nabab gezonden Was , hij niet konde vertrekken zonder aan 't Hof te [ komen ] , al zoude hij ook gedood Worden en dat wijl 't Verblijf van zulke wenscher in 't land schadelijk was",Arriving,8-40
88,88,gedood,isOfType,8-46,4587-4593,Killing[168],['8-44'],,,,,,,,,,,gedood Worden,"['8-46', '8-47']","Nabab gezonden Was , hij niet konde vertrekken zonder aan 't Hof te komen , al zoude hij ook [ gedood Worden ] en dat wijl 't Verblijf van zulke wenscher in 't land schadelijk was , 't Hofbeslooten had den Engelschen",Killing,8-47
89,89,Worden,isOfType,8-47,4594-4600,Killing[168],['8-44'],,,,,,,,,,,gedood Worden,"['8-46', '8-47']","Nabab gezonden Was , hij niet konde vertrekken zonder aan 't Hof te komen , al zoude hij ook [ gedood Worden ] en dat wijl 't Verblijf van zulke wenscher in 't land schadelijk was , 't Hofbeslooten had den Engelschen",Killing,8-47
90,90,Verblijf,isOfType,8-52,4616-4624,BeingAtAPlace,['8-54'],,['8-56'],,,,,,,,,Verblijf,['8-52'],"konde vertrekken zonder aan 't Hof te komen , al zoude hij ook gedood Worden en dat wijl 't [ Verblijf ] van zulke wenscher in 't land schadelijk was , 't Hofbeslooten had den Engelschen gezant te ontvangen en te hooren",BeingAtAPlace,8-52
91,91,schadelijk,isOfType,8-59,4655-4665,Damaging,,['8-54'],,,,,,,,,,schadelijk,['8-59'],"komen , al zoude hij ook gedood Worden en dat wijl 't Verblijf van zulke wenscher in 't land [ schadelijk ] was , 't Hofbeslooten had den Engelschen gezant te ontvangen en te hooren , met bijvoeging , dat ons 't",Damaging,8-59
92,92,ontvangen,evokes,8-69,4716-4725,Visit,['8-62'],['8-65'],,,,,,,,,,ontvangen,['8-69'],"wijl 't Verblijf van zulke wenscher in 't land schadelijk was , 't Hofbeslooten had den Engelschen gezant te [ ontvangen ] en te hooren , met bijvoeging , dat ons 't Verhandelde zoude bedeele Worden . Dit heeft 't Hof wij",Visit,8-69
93,93,hooren,evokes,8-72,4732-4738,Visit,['8-62'],['8-65'],,,,,,,,,,hooren,['8-72'],"van zulke wenscher in 't land schadelijk was , 't Hofbeslooten had den Engelschen gezant te ontvangen en te [ hooren ] , met bijvoeging , dat ons 't Verhandelde zoude bedeele Worden . Dit heeft 't Hof wij omstandig gedaan bij",Visit,8-72
94,94,bedeele,isOfType,8-82,4785-4792,Giving[169],['8-79'],,,,,['8-78'],,,,,,bedeele Worden,"['8-82', '8-83']","Hofbeslooten had den Engelschen gezant te ontvangen en te hooren , met bijvoeging , dat ons 't Verhandelde zoude [ bedeele Worden ] . Dit heeft 't Hof wij omstandig gedaan bij twee brieven , die met de daar op gepaste antwoorden",Giving,8-83
95,95,Worden,isOfType,8-83,4793-4799,Giving[169],['8-79'],,,,,['8-78'],,,,,,bedeele Worden,"['8-82', '8-83']","Hofbeslooten had den Engelschen gezant te ontvangen en te hooren , met bijvoeging , dat ons 't Verhandelde zoude [ bedeele Worden ] . Dit heeft 't Hof wij omstandig gedaan bij twee brieven , die met de daar op gepaste antwoorden",Giving,8-83
96,96,overgaan,evokes,8-106,4914-4922,Transportation,"['8-93', '8-98']",,,,,,,,,,,overgaan,['8-106'],"'t Hof wij omstandig gedaan bij twee brieven , die met de daar op gepaste antwoorden onder de bijlaagen [ overgaan ] . Hier uit blijkt , dat 't Hlof bij zijne gevoelens tot aankleeving aan onze belangen onveranderlijk blijft volharden ,",Transportation,8-106
97,97,gevoelens,evokes,8-117,4963-4972,Collaboration[170],"['8-121', '8-113']",,,,,,,,,,,gevoelens tot aankleeving,"['8-117', '8-118', '8-119']","de daar op gepaste antwoorden onder de bijlaagen overgaan . Hier uit blijkt , dat 't Hlof bij zijne [ gevoelens tot aankleeving ] aan onze belangen onveranderlijk blijft volharden , 't Welk ons tot groote gerustheid strekt in de presente Kritike",Collaboration,8-119
98,98,tot,evokes,8-118,4973-4976,Collaboration[170],"['8-121', '8-113']",,,,,,,,,,,gevoelens tot aankleeving,"['8-117', '8-118', '8-119']","de daar op gepaste antwoorden onder de bijlaagen overgaan . Hier uit blijkt , dat 't Hlof bij zijne [ gevoelens tot aankleeving ] aan onze belangen onveranderlijk blijft volharden , 't Welk ons tot groote gerustheid strekt in de presente Kritike",Collaboration,8-119
99,99,aankleeving,evokes,8-119,4977-4988,Collaboration[170],"['8-121', '8-113']",,,,,,,,,,,gevoelens tot aankleeving,"['8-117', '8-118', '8-119']","de daar op gepaste antwoorden onder de bijlaagen overgaan . Hier uit blijkt , dat 't Hlof bij zijne [ gevoelens tot aankleeving ] aan onze belangen onveranderlijk blijft volharden , 't Welk ons tot groote gerustheid strekt in de presente Kritike",Collaboration,8-119
100,100,opruijingen,evokes,8-153,5182-5193,AlteringARelationship,['8-155'],['8-155'],,,['8-155'],,,,,,,opruijingen,['8-153'],"in de presente Kritike tijdsgesteldheid , maar het is echter niet te twijffelen of 't Hof zal door de [ opruijingen ] van de Engelschen zich gesterkt Vinder , om zijne vorige eischen tot terugge erlanging van de bevorens bezetene stranden en",AlteringARelationship,8-153
101,101,eischen,isOfType,8-164,5250-5257,Request,,,,,,,,,,,,eischen,['8-164'],"te twijffelen of 't Hof zal door de opruijingen van de Engelschen zich gesterkt Vinder , om zijne vorige [ eischen ] tot terugge erlanging van de bevorens bezetene stranden en tot herstelling van het oude afgeschafte Ceremonieel , bij deeze geleegenheid",Request,8-164
102,102,erlanging,evokes,8-167,5270-5279,Getting,['8-169'],['8-148'],,,,,,,,,,erlanging,['8-167'],"'t Hof zal door de opruijingen van de Engelschen zich gesterkt Vinder , om zijne vorige eischen tot terugge [ erlanging ] van de bevorens bezetene stranden en tot herstelling van het oude afgeschafte Ceremonieel , bij deeze geleegenheid met meerder nadruk",Getting,8-167
103,103,bezetene,isOfType,8-171,5296-5304,Occupation,['8-172'],,,,,,,,,,,bezetene,['8-171'],"de opruijingen van de Engelschen zich gesterkt Vinder , om zijne vorige eischen tot terugge erlanging van de bevorens [ bezetene ] stranden en tot herstelling van het oude afgeschafte Ceremonieel , bij deeze geleegenheid met meerder nadruk door te zetten en",Occupation,8-171
104,104,onder,evokes,8-215,5569-5574,SocialStatusChange[171],['8-197'],,,,,,,,,,,onder Worpen,"['8-215', '8-216']","wijl de Engelsche gezant , zo als de hofsgroten met veel Waarschijnelijkheid voorgeeven , zig aan het afgeschafte Ceremonieel [ onder Worpen ] , en ook alle landen aan den Koning aangeboden heeft : en hoewel Wij bij deeze geleegendheid in het",SocialStatusChange,8-216
105,105,Worpen,evokes,8-216,5575-5581,SocialStatusChange[171],['8-197'],,,,,,,,,,,onder Worpen,"['8-215', '8-216']","wijl de Engelsche gezant , zo als de hofsgroten met veel Waarschijnelijkheid voorgeeven , zig aan het afgeschafte Ceremonieel [ onder Worpen ] , en ook alle landen aan den Koning aangeboden heeft : en hoewel Wij bij deeze geleegendheid in het",SocialStatusChange,8-216
106,106,aangeboden,evokes,8-225,5617-5627,Giving,['8-220'],['8-197'],,,,['8-223'],,,,,,aangeboden,['8-225'],"veel Waarschijnelijkheid voorgeeven , zig aan het afgeschafte Ceremonieel onder Worpen , en ook alle landen aan den Koning [ aangeboden ] heeft : en hoewel Wij bij deeze geleegendheid in het stuk van de eerbewijzing aan den koning niet minder zullen",Giving,8-225
107,107,afgaanden,isOfType,8-267,5848-5857,Leaving,,['8-268'],,['8-266'],,,,,,,,afgaanden,['8-267'],"dan de Engelschen , is echter de koopman Billingdie Volgens het bedeelde bij § 5 . Van onzer heeden [ afgaanden ] gemeenen brief is na Randia Vertrokken , om den nieuwen Koning met desselfs komst op den troon te vergeluken ,",Leaving,8-267
108,108,Vertrokken,isOfType,8-273,5886-5896,Leaving,,['8-254'],,,,,,,['8-272'],,,Vertrokken,['8-273'],"de koopman Billingdie Volgens het bedeelde bij § 5 . Van onzer heeden afgaanden gemeenen brief is na Randia [ Vertrokken ] , om den nieuwen Koning met desselfs komst op den troon te vergeluken , geinstrueerd alle middelen van overreding aan",Leaving,8-273
109,109,komst,evokes,8-281,5933-5938,Replacing[172],,,,,,['8-276'],,,,,,komst op den troon,"['8-281', '8-282', '8-283', '8-284']","5 . Van onzer heeden afgaanden gemeenen brief is na Randia Vertrokken , om den nieuwen Koning met desselfs [ komst op den troon ] te vergeluken , geinstrueerd alle middelen van overreding aan te Wenden , om de zaaken op den",Replacing,8-284
110,110,op,evokes,8-282,5939-5941,Replacing[172],,,,,,['8-276'],,,,,,komst op den troon,"['8-281', '8-282', '8-283', '8-284']","5 . Van onzer heeden afgaanden gemeenen brief is na Randia Vertrokken , om den nieuwen Koning met desselfs [ komst op den troon ] te vergeluken , geinstrueerd alle middelen van overreding aan te Wenden , om de zaaken op den",Replacing,8-284
111,111,den,evokes,8-283,5942-5945,Replacing[172],,,,,,['8-276'],,,,,,komst op den troon,"['8-281', '8-282', '8-283', '8-284']","5 . Van onzer heeden afgaanden gemeenen brief is na Randia Vertrokken , om den nieuwen Koning met desselfs [ komst op den troon ] te vergeluken , geinstrueerd alle middelen van overreding aan te Wenden , om de zaaken op den",Replacing,8-284
112,112,troon,evokes,8-284,5946-5951,Replacing[172],,,,,,['8-276'],,,,,,komst op den troon,"['8-281', '8-282', '8-283', '8-284']","5 . Van onzer heeden afgaanden gemeenen brief is na Randia Vertrokken , om den nieuwen Koning met desselfs [ komst op den troon ] te vergeluken , geinstrueerd alle middelen van overreding aan te Wenden , om de zaaken op den",Replacing,8-284
113,113,Verplicht,isOfType,8-314,6102-6111,ForceToAct,,,,,,,,,,,,Verplicht,['8-314'],"Wenden , om de zaaken op den ouden Voet te houden , en Voor al tot geen meer Ceremonien [ Verplicht ] te worden , dan door de Engelschen ingewilligd is . Het stuk van de Stranden is echter een zaak van",ForceToAct,8-314
114,114,eisschen,evokes,9-29,6257-6265,Request,,,,,,,,,,,,eisschen,['9-29'],"van de Stranden is echter een zaak van veel meer gewigt , en onze gezant is gelast , de [ eisschen ] daar toe met alle omzichtigheid te ontlegger , en indien geen en kele overredingen van vrugt zijn , te beproeven",Request,9-29
115,115,geschenken,evokes,9-58,6423-6433,Giving,['9-58'],['9-23'],,,,['9-51'],,,,,,geschenken,['9-58'],"indien geen en kele overredingen van vrugt zijn , te beproeven om de Hofsgrooten van het meeste aanzien door [ geschenken ] en beloften van meerder daar van # te doen afzien een afschrift van de instruksie voor gemelden gezant p nevens",Giving,9-58
116,116,beloften,evokes,9-60,6437-6445,Giving[173],,['9-23'],,,,['9-51'],,,,,,beloften van meerder,"['9-60', '9-61', '9-62']","en kele overredingen van vrugt zijn , te beproeven om de Hofsgrooten van het meeste aanzien door geschenken en [ beloften van meerder ] daar van # te doen afzien een afschrift van de instruksie voor gemelden gezant p nevens een kopij",Giving,9-62
117,117,van,evokes,9-61,6446-6449,Giving[173],,['9-23'],,,,['9-51'],,,,,,beloften van meerder,"['9-60', '9-61', '9-62']","en kele overredingen van vrugt zijn , te beproeven om de Hofsgrooten van het meeste aanzien door geschenken en [ beloften van meerder ] daar van # te doen afzien een afschrift van de instruksie voor gemelden gezant p nevens een kopij",Giving,9-62
118,118,meerder,evokes,9-62,6450-6457,Giving[173],,['9-23'],,,,['9-51'],,,,,,beloften van meerder,"['9-60', '9-61', '9-62']","en kele overredingen van vrugt zijn , te beproeven om de Hofsgrooten van het meeste aanzien door geschenken en [ beloften van meerder ] daar van # te doen afzien een afschrift van de instruksie voor gemelden gezant p nevens een kopij",Giving,9-62
119,119,aangebooden,evokes,9-94,6629-6640,Giving,['9-92'],,,['9-90'],,['9-88'],,,,,,aangebooden,['9-94'],"gemelden gezant p nevens een kopij Van den brief aan den Koning Word Uwe Hoogedel heeden onder de bijlaager [ aangebooden ] De te Gale binnen geloopene Fransche artillerij - kommandant heeft Verzoek gedaan om geassisteerd te Worden met geschut , ammunitie",Giving,9-94
120,120,binnen,isOfType,9-98,6652-6658,Arriving[174],,['9-100'],,,,,,,['9-97'],,,binnen geloopene,"['9-98', '9-99']","een kopij Van den brief aan den Koning Word Uwe Hoogedel heeden onder de bijlaager aangebooden De te Gale [ binnen geloopene ] Fransche artillerij - kommandant heeft Verzoek gedaan om geassisteerd te Worden met geschut , ammunitie goederen en kruit ,",Arriving,9-99
121,121,geloopene,isOfType,9-99,6659-6668,Arriving[174],,['9-100'],,,,,,,['9-97'],,,binnen geloopene,"['9-98', '9-99']","een kopij Van den brief aan den Koning Word Uwe Hoogedel heeden onder de bijlaager aangebooden De te Gale [ binnen geloopene ] Fransche artillerij - kommandant heeft Verzoek gedaan om geassisteerd te Worden met geschut , ammunitie goederen en kruit ,",Arriving,9-99
122,122,Verzoek,isOfType,9-105,6708-6715,Request,,['9-100'],,,,,,,,,,Verzoek,['9-105'],"Koning Word Uwe Hoogedel heeden onder de bijlaager aangebooden De te Gale binnen geloopene Fransche artillerij - kommandant heeft [ Verzoek ] gedaan om geassisteerd te Worden met geschut , ammunitie goederen en kruit , in steede van 't geen zij met",Request,9-105
123,123,geassisteerd,evokes,9-108,6726-6738,Giving,"['9-112', '9-114', '9-117']",,,,,,,,,,,geassisteerd,['9-108'],"Hoogedel heeden onder de bijlaager aangebooden De te Gale binnen geloopene Fransche artillerij - kommandant heeft Verzoek gedaan om [ geassisteerd ] te Worden met geschut , ammunitie goederen en kruit , in steede van 't geen zij met het transportschip Lauriston",Giving,9-108
124,124,Verloren,isOfType,9-129,6850-6858,LosingPossession,['9-122'],['9-124'],,,,,,,,,,Verloren,['9-129'],"Worden met geschut , ammunitie goederen en kruit , in steede van 't geen zij met het transportschip Lauriston [ Verloren ] hebben onze voorraad van geschut en Verde re ammunitie goederen is zo klein , dat Wij hen Weirig assistent sie",LosingPossession,9-129
125,125,voorraad,evokes,9-132,6871-6879,HavingInPossession,"['9-136', '9-134']",,,,,,,,,,,voorraad,['9-132'],", ammunitie goederen en kruit , in steede van 't geen zij met het transportschip Lauriston Verloren hebben onze [ voorraad ] van geschut en Verde re ammunitie goederen is zo klein , dat Wij hen Weirig assistent sie zullen kunnen bewijzen",HavingInPossession,9-132
126,126,assistent,evokes,9-148,6955-6964,Collaboration[175],"['9-145', '9-146']",,,,,,,,,,,assistent sie,"['9-148', '9-149']","Verloren hebben onze voorraad van geschut en Verde re ammunitie goederen is zo klein , dat Wij hen Weirig [ assistent sie ] zullen kunnen bewijzen maar kruit hebben wij Vijftig duizend ponden moeten belooven , schoon onze Voorraad te Kolombo ,",Collaboration,9-149
127,127,sie,evokes,9-149,6965-6968,Collaboration[175],"['9-145', '9-146']",,,,,,,,,,,assistent sie,"['9-148', '9-149']","Verloren hebben onze voorraad van geschut en Verde re ammunitie goederen is zo klein , dat Wij hen Weirig [ assistent sie ] zullen kunnen bewijzen maar kruit hebben wij Vijftig duizend ponden moeten belooven , schoon onze Voorraad te Kolombo ,",Collaboration,9-149
128,128,belooven,evokes,9-161,7044-7052,Giving,['9-154'],['9-156'],,,,,,,,,,belooven,['9-161'],"klein , dat Wij hen Weirig assistent sie zullen kunnen bewijzen maar kruit hebben wij Vijftig duizend ponden moeten [ belooven ] , schoon onze Voorraad te Kolombo , Gale en Jaffenapatnam niet veel boven de vierde halfhonderd duizend is beloopen zal",Giving,9-161
129,129,Voorraad,evokes,9-165,7066-7074,HavingInPossession,['9-172'],,"['9-171', '9-167', '9-169']",,,,,,,,,Voorraad,['9-165'],"hen Weirig assistent sie zullen kunnen bewijzen maar kruit hebben wij Vijftig duizend ponden moeten belooven , schoon onze [ Voorraad ] te Kolombo , Gale en Jaffenapatnam niet veel boven de vierde halfhonderd duizend is beloopen zal , hoe veel kolombo",HavingInPossession,9-165
130,130,in,isOfType,9-188,7205-7207,HavingInPossession[176],,,['9-185'],,,,,,,,,in zijne magazijnen te hebben,"['9-188', '9-189', '9-190', '9-191', '9-192']","Gale en Jaffenapatnam niet veel boven de vierde halfhonderd duizend is beloopen zal , hoe veel kolombo alleen behoorde [ in zijne magazijnen te hebben ] . Onze kruitmolens zijn niet in staat een toereikende quantiteit in Voorraad te brengen , door",HavingInPossession,9-192
131,131,zijne,isOfType,9-189,7208-7213,HavingInPossession[176],,,['9-185'],,,,,,,,,in zijne magazijnen te hebben,"['9-188', '9-189', '9-190', '9-191', '9-192']","Gale en Jaffenapatnam niet veel boven de vierde halfhonderd duizend is beloopen zal , hoe veel kolombo alleen behoorde [ in zijne magazijnen te hebben ] . Onze kruitmolens zijn niet in staat een toereikende quantiteit in Voorraad te brengen , door",HavingInPossession,9-192
132,132,magazijnen,isOfType,9-190,7214-7224,HavingInPossession[176],,,['9-185'],,,,,,,,,in zijne magazijnen te hebben,"['9-188', '9-189', '9-190', '9-191', '9-192']","Gale en Jaffenapatnam niet veel boven de vierde halfhonderd duizend is beloopen zal , hoe veel kolombo alleen behoorde [ in zijne magazijnen te hebben ] . Onze kruitmolens zijn niet in staat een toereikende quantiteit in Voorraad te brengen , door",HavingInPossession,9-192
133,133,te,isOfType,9-191,7225-7227,HavingInPossession[176],,,['9-185'],,,,,,,,,in zijne magazijnen te hebben,"['9-188', '9-189', '9-190', '9-191', '9-192']","Gale en Jaffenapatnam niet veel boven de vierde halfhonderd duizend is beloopen zal , hoe veel kolombo alleen behoorde [ in zijne magazijnen te hebben ] . Onze kruitmolens zijn niet in staat een toereikende quantiteit in Voorraad te brengen , door",HavingInPossession,9-192
134,134,hebben,isOfType,9-192,7228-7234,HavingInPossession[176],,,['9-185'],,,,,,,,,in zijne magazijnen te hebben,"['9-188', '9-189', '9-190', '9-191', '9-192']","Gale en Jaffenapatnam niet veel boven de vierde halfhonderd duizend is beloopen zal , hoe veel kolombo alleen behoorde [ in zijne magazijnen te hebben ] . Onze kruitmolens zijn niet in staat een toereikende quantiteit in Voorraad te brengen , door",HavingInPossession,9-192
135,135,Voorraad,evokes,9-204,7302-7310,HavingInPossession,['9-200'],,,,,,,,,,,Voorraad,['9-204'],"kolombo alleen behoorde in zijne magazijnen te hebben . Onze kruitmolens zijn niet in staat een toereikende quantiteit in [ Voorraad ] te brengen , door gebrek aan Zwavel zoo Wel als door de gesteldheid van de molens zelvendie Voor geen Zwaare",HavingInPossession,9-204
136,136,leverancien,evokes,9-225,7419-7430,Giving,,,,,,,,,,,,leverancien,['9-225'],"brengen , door gebrek aan Zwavel zoo Wel als door de gesteldheid van de molens zelvendie Voor geen Zwaare [ leverancien ] gemaakt zijn . Wij Verzoeken derhalven ootmoedig , dat UWe Hoogedelheeden ons zo niet 5 . p meer , ter",Giving,9-225
137,137,Verzoeken,isOfType,9-230,7449-7458,Request,['9-235'],['9-229'],,,,,,,,,,Verzoeken,['9-230'],"Zwavel zoo Wel als door de gesteldheid van de molens zelvendie Voor geen Zwaare leverancien gemaakt zijn . Wij [ Verzoeken ] derhalven ootmoedig , dat UWe Hoogedelheeden ons zo niet 5 . p meer , ter minsten andere Vijftig duizend ponden",Request,9-230
138,138,toete,evokes,9-253,7583-7588,Transportation[177]|Giving[178],"['9-245', '9-235']",,,,,['9-237'],,,,,,toete zenden,"['9-253', '9-254']","dat UWe Hoogedelheeden ons zo niet 5 . p meer , ter minsten andere Vijftig duizend ponden kruit gelieven [ toete zenden ] , en dat indien dit kruit in de drie schepen niet # geheel mocht hunnen geborgen worden , daar",Transportation,9-254
139,139,zenden,evokes,9-254,7589-7595,Transportation[177]|Giving[178],"['9-245', '9-235']",,,,,['9-237'],,,,,,toete zenden,"['9-253', '9-254']","dat UWe Hoogedelheeden ons zo niet 5 . p meer , ter minsten andere Vijftig duizend ponden kruit gelieven [ toete zenden ] , en dat indien dit kruit in de drie schepen niet # geheel mocht hunnen geborgen worden , daar",Transportation,9-254
140,140,geborgen,evokes,9-270,7667-7675,Transportation[179],['9-259'],,,,,,,,,,['9-262'],geborgen worden,"['9-270', '9-271']","kruit gelieven toete zenden , en dat indien dit kruit in de drie schepen niet # geheel mocht hunnen [ geborgen worden ] , daar toe worden gebuukt een of twee sloepen , die Wij buiten des zeer nodig hebben . De",Transportation,9-271
141,141,worden,evokes,9-271,7676-7682,Transportation[179],['9-259'],,,,,,,,,,['9-262'],geborgen worden,"['9-270', '9-271']","kruit gelieven toete zenden , en dat indien dit kruit in de drie schepen niet # geheel mocht hunnen [ geborgen worden ] , daar toe worden gebuukt een of twee sloepen , die Wij buiten des zeer nodig hebben . De",Transportation,9-271
142,142,daar,evokes,9-273,7684-7688,Transportation[180],['9-259'],,,,,,,,,,['9-277'],daar toe worden gebuukt,"['9-273', '9-274', '9-275', '9-276']","zenden , en dat indien dit kruit in de drie schepen niet # geheel mocht hunnen geborgen worden , [ daar toe worden gebuukt ] een of twee sloepen , die Wij buiten des zeer nodig hebben . De Franschen hebben zoo",Transportation,9-276
143,143,toe,evokes,9-274,7689-7692,Transportation[180],['9-259'],,,,,,,,,,['9-277'],daar toe worden gebuukt,"['9-273', '9-274', '9-275', '9-276']","zenden , en dat indien dit kruit in de drie schepen niet # geheel mocht hunnen geborgen worden , [ daar toe worden gebuukt ] een of twee sloepen , die Wij buiten des zeer nodig hebben . De Franschen hebben zoo",Transportation,9-276
144,144,worden,evokes,9-275,7693-7699,Transportation[180],['9-259'],,,,,,,,,,['9-277'],daar toe worden gebuukt,"['9-273', '9-274', '9-275', '9-276']","zenden , en dat indien dit kruit in de drie schepen niet # geheel mocht hunnen geborgen worden , [ daar toe worden gebuukt ] een of twee sloepen , die Wij buiten des zeer nodig hebben . De Franschen hebben zoo",Transportation,9-276
145,145,gebuukt,evokes,9-276,7700-7707,Transportation[180],['9-259'],,,,,,,,,,['9-277'],daar toe worden gebuukt,"['9-273', '9-274', '9-275', '9-276']","zenden , en dat indien dit kruit in de drie schepen niet # geheel mocht hunnen geborgen worden , [ daar toe worden gebuukt ] een of twee sloepen , die Wij buiten des zeer nodig hebben . De Franschen hebben zoo",Transportation,9-276
146,146,meede,evokes,10-10,7816-7821,Transportation[181],['10-7'],['10-1'],,,,,,,,,,meede gebragt,"['10-10', '10-11']","sloepen , die Wij buiten des zeer nodig hebben . De Franschen hebben zoo men hoord niet veel geld [ meede gebragt ] , en zullen dus ongetwijffeld spoedig bij ons aanzoe k er om doen , en wij zullen het hen",Transportation,10-11
147,147,gebragt,evokes,10-11,7822-7829,Transportation[181],['10-7'],['10-1'],,,,,,,,,,meede gebragt,"['10-10', '10-11']","sloepen , die Wij buiten des zeer nodig hebben . De Franschen hebben zoo men hoord niet veel geld [ meede gebragt ] , en zullen dus ongetwijffeld spoedig bij ons aanzoe k er om doen , en wij zullen het hen",Transportation,10-11
